Label,Year,Month,Close (Rs.),Loan Rate
AEL.N0000,2019,7,16.5,8.5
AGST.N0000,2019,7,4.1,8.5
ALHP.N0000,2019,7,1.0,8.5
ALUM.N0000,2019,7,11.5,8.5
AMF.N0000,2019,7,429.9,8.5
AMSL.N0000,2019,7,10.1,8.5
ARPI.N0000,2019,7,145.2,8.5
ASIR.N0000,2019,7,21.85,8.5
ASIY.N0000,2019,7,2.1,8.5
BFL.N0000,2019,7,95.6,8.5
BIL.N0000,2019,7,1.85,8.5
BLI.N0000,2019,7,19.75,8.5
BOGA.N0000,2019,7,12.4,8.5
BRWN.N0000,2019,7,49.9,8.5
CARE.N0000,2019,7,31.0,8.5
CARG.N0000,2019,7,190.6,8.5
CCS.N0000,2019,7,585.0,8.5
CDB.X0000,2019,7,64.0,8.5
CFIN.N0000,2019,7,87.9,8.5
CFLB.N0000,2019,7,15.5,8.5
CFVF.N0000,2019,7,35.05,8.5
CIC.N0000,2019,7,46.8,8.5
CIC.X0000,2019,7,36.349999999999994,8.5
CIND.N0000,2019,7,33.3,8.5
CINV.N0000,2019,7,40.05,8.5
CITW.N0000,2019,7,2.6500000000000004,8.5
CLC.N0000,2019,7,2.8,8.5
COCR.N0000,2019,7,28.55,8.5
COF.U0000,2019,7,6.5,8.5
COMB.N0000,2019,7,97.0,8.5
COMB.X0000,2019,7,85.5,8.5
CTC.N0000,2019,7,1299.6,8.5
CTHR.N0000,2019,7,166.2,8.5
DFCC.N0000,2019,7,83.95,8.5
DIAL.N0000,2019,7,10.399999999999999,8.5
DIPD.N0000,2019,7,82.2,8.5
DIST.N0000,2019,7,17.0,8.5
DPL.N0000,2019,7,5.7,8.5
EAST.N0000,2019,7,7.5,8.5
ELPL.N0000,2019,7,19.6,8.5
EXPO.N0000,2019,7,5.6,8.5
GHLL.N0000,2019,7,7.1,8.5
GLAS.N0000,2019,7,3.9,8.5
GOOD.N0000,2019,7,802.9,8.5
GRAN.N0000,2019,7,52.400000000000006,8.5
GREG.N0000,2019,7,10.4,8.5
GSF.N0000,2019,7,16.8,8.5
HASU.N0000,2019,7,119.95,8.5
HAYC.N0000,2019,7,136.0,8.5
HAYL.N0000,2019,7,150.0,8.5
HHL.N0000,2019,7,70.45,8.5
HNB.N0000,2019,7,138.25,8.5
HNB.X0000,2019,7,124.15,8.5
IDL.N0000,2019,7,7.0,8.5
JINS.N0000,2019,7,31.75,8.5
JKH.N0000,2019,7,146.45,8.5
KGAL.N0000,2019,7,60.0,8.5
KOTA.N0000,2019,7,6.4,8.5
KZOO.N0000,2019,7,2.7,8.5
LDEV.N0000,2019,7,3.25,8.5
LFIN.N0000,2019,7,124.5,8.5
LIOC.N0000,2019,7,17.45,8.5
LION.N0000,2019,7,555.95,8.5
LLMP.N0000,2019,7,1.4,8.5
LLMP.X0000,2019,7,0.9,8.5
LLUB.N0000,2019,7,60.65,8.5
LMF.N0000,2019,7,104.0,8.5
